,file,state,machine_type,machine,dB,file_path
0,00000000.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000000.wav
1,00000001.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000001.wav
2,00000002.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000002.wav
3,00000003.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000003.wav
4,00000004.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000004.wav
5,00000005.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000005.wav
6,00000006.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000006.wav
7,00000007.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000007.wav
8,00000008.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000008.wav
9,00000009.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000009.wav
10,00000010.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000010.wav
11,00000011.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000011.wav
12,00000012.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000012.wav
13,00000013.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000013.wav
14,00000014.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000014.wav
15,00000015.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000015.wav
16,00000016.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000016.wav
17,00000017.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000017.wav
18,00000018.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000018.wav
19,00000019.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000019.wav
20,00000020.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000020.wav
21,00000021.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000021.wav
22,00000022.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000022.wav
23,00000023.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000023.wav
24,00000024.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000024.wav
25,00000025.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000025.wav
26,00000026.wav,abnormal,id_00,fan,-6_dB_fan,E:\Projects\factory_noises\-6_dB_fan\fan\id_00\abnormal\00000026.wav
