,mfccs0,mfccs1,mfccs2,mfccs3,mfccs4,mfccs5,mfccs6,mfccs7,mfccs8,mfccs9,mfccs10,mfccs11,mfccs12,delta_mfccs0,delta_mfccs1,delta_mfccs2,delta_mfccs3,delta_mfccs4,delta_mfccs5,delta_mfccs6,delta_mfccs7,delta_mfccs8,delta_mfccs9,delta_mfccs10,delta_mfccs11,delta_mfccs12,delta2_mfccs0,delta2_mfccs1,delta2_mfccs2,delta2_mfccs3,delta2_mfccs4,delta2_mfccs5,delta2_mfccs6,delta2_mfccs7,delta2_mfccs8,delta2_mfccs9,delta2_mfccs10,delta2_mfccs11,delta2_mfccs12,target
0,-512.2638,171.8965,-36.997234,61.15907,-29.188457,47.69031,-19.822397,21.088257,-9.002375,8.224021,2.8977263,-8.941576,5.9699345,26.358364,26.358364,26.358364,26.358364,26.358364,-10.691348,0.24241349,-4.2042766,0.055231944,0.055231944,0.055231944,0.055231944,0.055231944,-30.4257,-30.4257,-30.4257,-30.4257,-30.4257,8.534149,-2.0267656,1.9458789,-1.2158904,-1.2158904,-1.2158904,-1.2158904,-1.2158904,1
1,-469.9143,163.77786,-59.444805,68.75729,-43.909313,44.68242,-25.08913,17.827192,-9.302142,9.294248,0.053099755,-7.7996416,9.213895,24.153885,24.153885,24.153885,24.153885,24.153885,-9.175775,1.6993599,-3.8221643,1.6133028,1.6133028,1.6133028,1.6133028,1.6133028,-27.10139,-27.10139,-27.10139,-27.10139,-27.10139,8.5529,-2.7095153,2.588994,-1.7056832,-1.7056832,-1.7056832,-1.7056832,-1.7056832,1
2,-493.85104,163.50308,-46.88834,48.8512,-44.472176,44.614006,-31.131735,22.592953,-15.453775,4.875377,4.212093,3.8009512,16.534592,25.302244,25.302244,25.302244,25.302244,25.302244,-9.656386,1.8081669,-1.6324581,2.9092999,2.9092999,2.9092999,2.9092999,2.9092999,-28.210318,-28.210318,-28.210318,-28.210318,-28.210318,8.87367,-1.8600105,2.4602149,-0.83523077,-0.83523077,-0.83523077,-0.83523077,-0.83523077,1
3,-490.2351,176.44164,-50.31445,62.407856,-32.37923,41.14415,-20.342564,15.855983,-10.569577,3.924163,3.2684052,-6.863183,6.434731,24.593086,24.593086,24.593086,24.593086,24.593086,-10.865039,0.95352465,-3.9134705,0.77539945,0.77539945,0.77539945,0.77539945,0.77539945,-28.623358,-28.623358,-28.623358,-28.623358,-28.623358,8.812405,-2.3193195,2.5959206,-1.0276123,-1.0276123,-1.0276123,-1.0276123,-1.0276123,1
4,-528.3072,176.72162,-27.095566,50.88295,-23.01846,42.34063,-14.727908,19.486193,-7.398966,6.5975904,3.0856204,-7.554741,5.5008416,27.135326,27.135326,27.135326,27.135326,27.135326,-11.265155,-0.06244639,-3.6599276,-0.21450755,-0.21450755,-0.21450755,-0.21450755,-0.21450755,-31.203814,-31.203814,-31.203814,-31.203814,-31.203814,8.925105,-1.6949635,1.4471585,-0.97250813,-0.97250813,-0.97250813,-0.97250813,-0.97250813,1
5,-488.9114,138.68625,-44.943005,70.1282,-42.9673,44.613026,-33.672062,25.339243,-13.667626,4.640166,11.45751,4.595203,8.0417385,25.966013,25.966013,25.966013,25.966013,25.966013,-8.710681,1.1410588,-2.6466472,2.5590458,2.5590458,2.5590458,2.5590458,2.5590458,-28.974825,-28.974825,-28.974825,-28.974825,-28.974825,7.034057,-1.0322148,3.8434005,-1.4979202,-1.4979202,-1.4979202,-1.4979202,-1.4979202,1
6,-489.49075,145.676,-46.069115,65.66882,-34.996765,47.39398,-22.711143,21.779196,-10.182762,9.440187,6.161235,-0.64916414,11.777685,26.233044,26.233044,26.233044,26.233044,26.233044,-8.546297,1.0708119,-3.419619,1.472902,1.472902,1.472902,1.472902,1.472902,-29.200352,-29.200352,-29.200352,-29.200352,-29.200352,7.106192,-2.0604815,2.7871015,-1.1203367,-1.1203367,-1.1203367,-1.1203367,-1.1203367,1
7,-534.8013,165.97133,-20.280254,42.905933,-18.057705,40.34297,-7.174258,15.5691185,-5.870278,9.695115,7.9911256,-3.9293892,7.911199,28.136106,28.136106,28.136106,28.136106,28.136106,-10.427752,0.21756776,-2.8197756,-0.074745044,-0.074745044,-0.074745044,-0.074745044,-0.074745044,-31.82351,-31.82351,-31.82351,-31.82351,-31.82351,8.419676,-1.2802701,1.1492364,-0.7528754,-0.7528754,-0.7528754,-0.7528754,-0.7528754,1
8,-484.89377,179.31764,-54.915314,57.008514,-37.189365,42.645584,-21.022532,16.33837,-12.716116,4.2203493,0.6896682,-9.016908,6.820981,24.219923,24.219923,24.219923,24.219923,24.219923,-10.649417,1.444912,-3.650144,0.8726715,0.8726715,0.8726715,0.8726715,0.8726715,-27.935745,-27.935745,-27.935745,-27.935745,-27.935745,9.124587,-2.7548676,2.0782018,-1.184907,-1.184907,-1.184907,-1.184907,-1.184907,1
9,-464.44757,154.07004,-63.826828,62.437527,-35.047157,35.310993,-18.403404,15.258971,-12.749546,4.96493,6.099785,-4.210748,10.274858,24.234653,24.234653,24.234653,24.234653,24.234653,-8.681699,2.1971977,-3.3031757,1.6905862,1.6905862,1.6905862,1.6905862,1.6905862,-27.01116,-27.01116,-27.01116,-27.01116,-27.01116,7.571022,-2.7138262,2.8786397,-1.009327,-1.009327,-1.009327,-1.009327,-1.009327,1
