,mfccs0,mfccs1,mfccs2,mfccs3,mfccs4,mfccs5,mfccs6,mfccs7,mfccs8,mfccs9,mfccs10,mfccs11,mfccs12,delta_mfccs0,delta_mfccs1,delta_mfccs2,delta_mfccs3,delta_mfccs4,delta_mfccs5,delta_mfccs6,delta_mfccs7,delta_mfccs8,delta_mfccs9,delta_mfccs10,delta_mfccs11,delta_mfccs12,delta2_mfccs0,delta2_mfccs1,delta2_mfccs2,delta2_mfccs3,delta2_mfccs4,delta2_mfccs5,delta2_mfccs6,delta2_mfccs7,delta2_mfccs8,delta2_mfccs9,delta2_mfccs10,delta2_mfccs11,delta2_mfccs12
0,-405.86188,152.7686,-74.5295,62.73415,-44.73945,47.361115,-23.117369,27.913315,-14.657843,5.387503,-1.3588295,-3.8005142,10.66889,21.295025,21.295025,21.295025,21.295025,21.295025,-7.63215,2.6893027,-3.5247416,1.4856622,1.4856622,1.4856622,1.4856622,1.4856622,-23.171936,-23.171936,-23.171936,-23.171936,-23.171936,7.110873,-4.3077087,2.141509,-1.5718591,-1.5718591,-1.5718591,-1.5718591,-1.5718591
1,-405.69257,151.58089,-74.3031,61.144775,-43.903812,44.87108,-22.432236,26.454416,-13.038487,8.177551,-0.5610134,-6.0477543,9.784236,21.378416,21.378416,21.378416,21.378416,21.378416,-7.2954774,2.9896777,-3.3789172,1.4576879,1.4576879,1.4576879,1.4576879,1.4576879,-23.005482,-23.005482,-23.005482,-23.005482,-23.005482,7.340569,-4.1543055,1.9068999,-1.7913692,-1.7913692,-1.7913692,-1.7913692,-1.7913692
2,-398.5928,145.81995,-81.03869,56.707012,-49.12226,36.722343,-30.60864,22.128532,-14.49567,5.4611573,-2.1642025,-7.0092597,7.9832144,20.769829,20.769829,20.769829,20.769829,20.769829,-6.8741574,3.6069958,-2.6733387,2.2908099,2.2908099,2.2908099,2.2908099,2.2908099,-21.869076,-21.869076,-21.869076,-21.869076,-21.869076,7.700053,-3.8395073,2.2062044,-1.8632691,-1.8632691,-1.8632691,-1.8632691,-1.8632691
3,-404.5527,152.83186,-72.84279,66.30369,-42.953503,45.73052,-26.300179,27.969782,-13.734242,6.4399214,-1.1659995,-4.9733915,10.34666,21.019995,21.019995,21.019995,21.019995,21.019995,-7.804277,2.4632273,-3.7626843,1.4971236,1.4971236,1.4971236,1.4971236,1.4971236,-23.157557,-23.157557,-23.157557,-23.157557,-23.157557,7.2772408,-3.9749792,2.4074411,-1.5546372,-1.5546372,-1.5546372,-1.5546372,-1.5546372
4,-409.149,151.14287,-76.30834,59.437164,-50.093975,40.913765,-27.72753,26.517015,-15.732157,4.8144474,-4.6086917,-6.4923983,10.583862,21.307133,21.307133,21.307133,21.307133,21.307133,-7.450983,2.954289,-3.1244278,2.0837994,2.0837994,2.0837994,2.0837994,2.0837994,-22.781065,-22.781065,-22.781065,-22.781065,-22.781065,7.6614246,-4.0716,2.0393581,-1.7849255,-1.7849255,-1.7849255,-1.7849255,-1.7849255
5,-396.1124,147.54108,-67.85147,57.529915,-40.481777,39.408634,-22.763649,22.718056,-12.774088,5.2139263,-0.8772212,-3.7626278,11.05407,20.515642,20.515642,20.515642,20.515642,20.515642,-7.599701,2.4945638,-3.0792725,1.7149721,1.7149721,1.7149721,1.7149721,1.7149721,-22.446768,-22.446768,-22.446768,-22.446768,-22.446768,7.2679157,-3.5931392,2.183487,-1.30885,-1.30885,-1.30885,-1.30885,-1.30885
6,-404.36652,147.96628,-73.41567,55.058777,-47.6417,39.94758,-24.82043,25.877161,-13.078877,5.549421,-1.4177023,-3.1857984,12.756017,21.349375,21.349375,21.349375,21.349375,21.349375,-7.0699835,3.2419841,-2.5226846,2.311141,2.311141,2.311141,2.311141,2.311141,-22.398165,-22.398165,-22.398165,-22.398165,-22.398165,7.528993,-3.9132564,1.8870057,-1.6931515,-1.6931515,-1.6931515,-1.6931515,-1.6931515
7,-392.2668,140.3395,-62.780052,55.680565,-41.159657,37.443478,-24.310946,20.261238,-13.286024,2.7247193,-2.2232165,-5.8925533,8.556658,20.239826,20.239826,20.239826,20.239826,20.239826,-7.599449,2.0320804,-3.1315958,1.5916017,1.5916017,1.5916017,1.5916017,1.5916017,-22.282385,-22.282385,-22.282385,-22.282385,-22.282385,6.9911942,-3.182793,2.1709142,-1.3090801,-1.3090801,-1.3090801,-1.3090801,-1.3090801
8,-401.25992,152.78592,-71.00795,61.462254,-45.259525,41.179596,-24.642593,23.867033,-13.942267,6.5232816,-3.434814,-6.6143913,11.272544,20.5827,20.5827,20.5827,20.5827,20.5827,-7.807117,2.513293,-3.4240792,1.7969687,1.7969687,1.7969687,1.7969687,1.7969687,-22.6485,-22.6485,-22.6485,-22.6485,-22.6485,7.6799045,-3.7831712,2.1468804,-1.5646099,-1.5646099,-1.5646099,-1.5646099,-1.5646099
9,-399.2521,151.96387,-76.328575,60.778805,-49.73102,38.86865,-29.065775,23.819538,-16.204716,4.4998994,-2.303762,-8.113452,8.903158,20.339533,20.339533,20.339533,20.339533,20.339533,-7.712293,2.9877672,-3.152728,2.1299133,2.1299133,2.1299133,2.1299133,2.1299133,-22.20463,-22.20463,-22.20463,-22.20463,-22.20463,7.8325505,-3.6832302,2.2871118,-1.8057871,-1.8057871,-1.8057871,-1.8057871,-1.8057871
